internal_id,id,name,category,URI
354,archaeological-catalogue-from-csv-spreadsheet,Archaeological_Catalogue_from_CSV_Spreadsheet,Scripts,https://open-archaeo.info/post/archaeological-catalogue-from-csv-spreadsheet
360,intcal,IntCal,Packages and libraries,https://open-archaeo.info/post/intcal
361,scem,SCEM,Packages and libraries,https://open-archaeo.info/post/scem
362,marbleplan,marbleplan,Standalone software,https://open-archaeo.info/post/marbleplan
363,uniformprobabilitydensityanalysis,UniformProbabilityDensityAnalysis,Packages and libraries,https://open-archaeo.info/post/uniformprobabilitydensityanalysis
364,charcoalhearths,charcoalhearths,Packages and libraries,https://open-archaeo.info/post/charcoalhearths
366,p3k14c-data-scrubbing,p3k14c-data-scrubbing,Packages and libraries,https://open-archaeo.info/post/p3k14c-data-scrubbing
374,rock-art-transfer-learning,rock-art-transfer-learning,Packages and libraries,https://open-archaeo.info/post/rock-art-transfer-learning
375,uthwigl,UThwigl,Packages and libraries,https://open-archaeo.info/post/uthwigl
376,totalopenstationtoqgis,totalopenstationToQgis,Packages and libraries,https://open-archaeo.info/post/totalopenstationtoqgis
379,globalid-app,GlobaLID-App,Standalone software,https://open-archaeo.info/post/globalid-app
380,clam,clam,Packages and libraries,https://open-archaeo.info/post/clam
381,coffee,coffee,Packages and libraries,https://open-archaeo.info/post/coffee
382,rbacon,rbacon,Packages and libraries,https://open-archaeo.info/post/rbacon
383,pollencount,pollencount,Packages and libraries,https://open-archaeo.info/post/pollencount
384,openlidartoolbox,OpenLidarToolbox,Packages and libraries,https://open-archaeo.info/post/openlidartoolbox
385,pxrf,pXRF,Packages and libraries,https://open-archaeo.info/post/pxrf
386,nearpresence,nearpresence,Packages and libraries,https://open-archaeo.info/post/nearpresence
387,dacord,DACORD,Scripts,https://open-archaeo.info/post/dacord
388,racord,RACORD,Scripts,https://open-archaeo.info/post/racord
389,dplr,dplR,Packages and libraries,https://open-archaeo.info/post/dplr
390,xdater,xDateR,Packages and libraries,https://open-archaeo.info/post/xdater
391,kidstats,kidstats,Scripts,https://open-archaeo.info/post/kidstats
392,trauma,tRauma,Scripts,https://open-archaeo.info/post/trauma
394,pypofatu,pypofatu,Packages and libraries,https://open-archaeo.info/post/pypofatu
395,pygeoroc,pygeoroc,Packages and libraries,https://open-archaeo.info/post/pygeoroc
396,open-history-map,Open History Map,Standalone software,https://open-archaeo.info/post/open-history-map
